Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,6.47,10.20,9.37,12.86,11.97
Short Term Investments,13.44,13.06,11.55,9.19,9.00
Cash and Short Term Investments,19.91,23.26,20.92,22.04,20.98
"Accounts Receivable - Trade, Net",9.42,11.01,10.87,9.46,11.84
"Total Receivables, Net",9.61,11.14,11.02,9.56,12.14
Prepaid Expenses,0.38,0.33,0.53,0.49,0.52
"Other Current Assets, Total",0.47,0.59,0.51,0.16,-0.11
Total Current Assets,33.69,39.00,37.56,36.78,38.93
"Property/Plant/Equipment, Total - Gross",62.29,65.99,78.17,80.52,85.15
"Accumulated Depreciation, Total",-36.65,-39.40,-42.50,-47.46,-52.98
"Property/Plant/Equipment, Total - Net",25.64,26.60,35.67,33.05,32.17
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0,0,0
Total Assets,59.34,65.60,73.29,69.88,71.15
Accounts Payable,0.88,0,0,0,0
Accrued Expenses,3.99,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",2.68,1.33,1.62,1.19,1.76
Total Current Liabilities,7.55,9.14,9.62,8.47,9.98
Total Long Term Debt,0.00,0.00,1.29,0.97,0.90
Total Debt,0.00,0.00,2.21,1.81,1.98
Deferred Income Tax,1.31,1.41,1.48,1.43,1.44
"Other Liabilities, Total",0.24,0.28,0.60,0.64,0.84
Total Liabilities,9.09,10.82,12.99,11.52,13.16
"Common Stock, Total",14.78,14.78,14.78,14.78,14.78
Retained Earnings (Accumulated Deficit),40.39,45.42,50.10,43.64,42.87
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-4.93,-5.44,-4.58,-0.07,0.33
Total Equity,50.24,54.77,60.30,58.36,57.98
Total Liabilities & Shareholders' Equity,59.34,65.60,73.29,69.88,71.15
Total Common Shares Outstanding,139.03,139.03,139.03,139.03,139.03
"Tangible Book Value per Share, Common Eq",0.36,0.39,0.43,0.42,0.42
