Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,51.25,57.23,65.10,60.33,64.21
Total Revenue,51.25,57.23,65.10,60.33,64.21
"Selling/General/Admin. Expenses, Total",10.93,11.74,12.49,12.56,12.43
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.13,-0.06,-0.25,0.00,0
"Other Operating Expenses, Total",2.79,2.99,3.15,3.06,3.24
Total Operating Expense,35.56,38.73,43.25,43.26,45.12
Operating Income,15.69,18.50,21.85,17.07,19.08
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,15.69,18.50,21.85,17.07,19.08
Provision for Income Taxes,3.81,3.74,4.71,4.12,4.43
Net Income After Taxes,11.88,14.76,17.14,12.95,14.65
Net Income Before Extra. Items,11.88,14.76,17.14,12.95,14.65
Net Income,11.88,14.76,17.14,12.95,14.65
Income Available to Com Excl ExtraOrd,11.88,14.76,17.14,12.95,14.65
Income Available to Com Incl ExtraOrd,11.88,14.76,17.14,12.95,14.65
Diluted Net Income,11.88,14.76,17.14,12.95,14.65
Diluted Weighted Average Shares,139.03,139.03,139.03,139.03,139.03
Diluted EPS Excluding ExtraOrd Items,0.09,0.11,0.12,0.09,0.11
DPS - Common Stock Primary Issue,0.05,0.07,0.09,0.09,0.10
Diluted Normalised EPS,0.09,0.11,0.12,0.09,0.11
