Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,11.88,14.76,17.14,12.95,14.65
Depreciation/Depletion,4.42,4.34,5.91,6.53,6.77
Non-Cash Items,3.86,3.55,4.39,4.01,4.36
Cash Taxes Paid,3.20,3.89,3.76,4.56,3.85
Changes in Working Capital,-3.85,-4.56,-5.03,-4.22,-6.99
Cash from Operating Activities,16.31,18.10,22.41,19.27,18.80
Capital Expenditures,-4.10,-5.09,-12.12,-3.42,-3.71
"Other Investing Cash Flow Items, Total",0.40,0.24,0.71,0.25,0.33
Cash from Investing Activities,-3.70,-4.86,-11.41,-3.17,-3.38
Total Cash Dividends Paid,-6.95,-9.73,-12.51,-13.90,-15.29
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-6.95,-9.73,-13.62,-15.01,-16.42
Foreign Exchange Effects,-0.74,-0.15,0.27,-0.28,-0.06
Net Change in Cash,4.92,3.35,-2.34,0.80,-1.07
