Fiscal Year,2017,2018,2019,2020
Period Ended,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS
Net Income/Starting Line,12.19,22.07,54.79,66.52
Depreciation/Depletion,4.40,4.85,5.67,6.83
Non-Cash Items,2.56,3.58,7.09,3.67
Cash Taxes Paid,0.68,0.19,1.33,2.98
Changes in Working Capital,-33.77,7.04,-28.82,-50.25
Cash from Operating Activities,-12.80,39.57,41.66,28.58
Capital Expenditures,-7.07,-1.39,-6.53,-11.19
"Other Investing Cash Flow Items, Total",-3.42,-2.35,-1.22,0.49
Cash from Investing Activities,-10.49,-3.74,-7.76,-10.70
Total Cash Dividends Paid,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0
Cash from Financing Activities,33.00,-40.09,-31.12,-20.66
Foreign Exchange Effects,0.47,0.19,0.24,-0.04
Net Change in Cash,10.17,-4.06,3.03,-2.82
