Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,3883.14,4556.39,3687.83,3175.26,3557.94
Total Revenue,3883.14,4556.39,3687.83,3175.26,3557.94
"Selling/General/Admin. Expenses, Total",240.86,267.92,272.00,241.77,234.53
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.01,0.02,0.04,0.07,-5.80
"Other Operating Expenses, Total",3.17,-1.07,-2.98,-12.95,-2.00
Total Operating Expense,3810.39,4393.55,3658.74,3210.83,3432.56
Operating Income,72.75,162.84,29.09,-35.57,125.38
"Interest Inc.(Exp.),Net-Non-Op., Total",-24.52,-30.87,-46.57,-36.26,-19.05
"Other, Net",0,0,0,0,0
Net Income Before Taxes,48.23,131.98,-17.48,-71.83,106.33
Provision for Income Taxes,9.39,20.02,1.49,0.72,13.85
Net Income After Taxes,38.84,111.96,-18.96,-72.55,92.48
Net Income Before Extra. Items,39.36,111.96,-18.96,-72.55,92.48
Net Income,37.51,111.96,-18.96,-72.55,92.48
Income Available to Com Excl ExtraOrd,39.36,111.96,-18.96,-72.55,92.48
Income Available to Com Incl ExtraOrd,37.51,111.96,-18.96,-72.55,92.48
Diluted Net Income,37.51,111.96,-18.96,-72.55,92.48
Diluted Weighted Average Shares,83.44,84.29,84.81,85.21,85.21
Diluted EPS Excluding ExtraOrd Items,0.47,1.33,-0.22,-0.85,1.09
DPS - Common Stock Primary Issue,0.28,0.35,0.20,0.00,0.33
Diluted Normalised EPS,0.47,1.33,-0.22,-0.85,1.03
