Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,331.26,327.05,297.50,264.84,216.92
"Accounts Receivable - Trade, Net",766.00,878.58,768.43,660.91,844.05
"Total Receivables, Net",774.91,956.43,781.46,673.74,849.60
Prepaid Expenses,0,2.45,4.66,3.64,3.87
"Other Current Assets, Total",0.07,8.14,9.25,4.83,3.87
Total Current Assets,1697.98,1985.02,1782.76,1322.18,1334.04
"Property/Plant/Equipment, Total - Gross",0,334.60,342.06,339.36,355.69
"Accumulated Depreciation, Total",0,-66.73,-62.71,-65.56,-67.35
"Property/Plant/Equipment, Total - Net",232.77,267.86,279.36,273.80,288.34
"Goodwill, Net",0,0.00,0,0,0
"Intangibles, Net",0,0.00,0,0,0
Long Term Investments,2.00,0.00,0,8.20,9.51
Total Assets,1936.09,2261.07,2083.15,1626.05,1640.79
Accounts Payable,418.62,397.47,310.86,305.93,349.35
Accrued Expenses,0,47.55,27.25,15.84,37.88
Notes Payable/Short Term Debt,668.55,818.38,592.00,673.84,491.14
"Other Current liabilities, Total",38.43,19.38,19.59,12.70,25.88
Total Current Liabilities,1334.95,1514.12,1383.86,1020.22,910.76
Total Long Term Debt,0.00,0.00,0.00,1.86,11.27
Total Debt,877.91,1049.72,1026.15,687.61,508.92
Deferred Income Tax,23.01,30.89,28.67,31.09,31.65
"Other Liabilities, Total",0.26,0.00,0,2.18,0.00
Total Liabilities,1358.22,1545.02,1412.53,1055.34,953.68
"Common Stock, Total",75.51,76.34,85.21,85.21,85.21
Retained Earnings (Accumulated Deficit),502.37,509.72,459.61,375.05,473.60
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,109.03,121.94,122.59,117.44
"Other Equity, Total",0,20.97,3.86,-12.13,10.85
Total Equity,577.87,716.06,670.62,570.71,687.10
Total Liabilities & Shareholders' Equity,1936.09,2261.07,2083.15,1626.05,1640.79
Total Common Shares Outstanding,83.06,83.98,85.21,85.21,85.21
"Tangible Book Value per Share, Common Eq",6.96,8.53,7.87,6.70,8.06
