Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,138.85,148.62,151.07,157.41,841.35
Depreciation/Depletion,29.90,34.55,41.31,47.96,52.56
Non-Cash Items,3.85,-5.53,-0.05,-2.17,-4.88
Cash Taxes Paid,22.63,21.27,23.39,26.65,62.05
Changes in Working Capital,-53.62,-31.95,-25.09,-35.36,-186.32
Cash from Operating Activities,118.97,145.68,167.25,167.85,702.71
Capital Expenditures,-97.22,-111.29,-126.15,-76.94,-100.99
"Other Investing Cash Flow Items, Total",0.65,1.02,0.13,0.22,1.86
Cash from Investing Activities,-96.58,-110.27,-126.03,-76.73,-99.13
Total Cash Dividends Paid,-48.54,-48.10,-51.88,-51.88,-73.00
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-48.54,-23.10,-56.88,-58.88,-79.52
Foreign Exchange Effects,0.66,-1.26,-1.59,1.16,-5.53
Net Change in Cash,-25.49,11.06,-17.24,33.40,518.53
