Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,59.21,84.79,72.15,68.40,352.24
Short Term Investments,43.98,29.46,24.86,62.01,296.71
Cash and Short Term Investments,103.20,114.25,97.01,130.41,648.94
"Accounts Receivable - Trade, Net",140.33,142.54,158.25,154.51,319.74
"Total Receivables, Net",150.11,158.39,172.05,158.70,321.09
Prepaid Expenses,1.71,2.41,5.25,3.07,4.96
"Other Current Assets, Total",0.35,2.53,1.73,1.66,2.93
Total Current Assets,322.42,348.82,359.83,391.13,1099.92
"Property/Plant/Equipment, Total - Gross",508.11,618.12,722.85,798.66,921.85
"Accumulated Depreciation, Total",-171.45,-198.27,-238.42,-287.83,-334.57
"Property/Plant/Equipment, Total - Net",336.66,419.85,484.43,510.82,587.28
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0,0,0
Total Assets,667.61,778.40,872.86,932.65,1687.77
Accounts Payable,44.82,44.16,53.17,0,0
Accrued Expenses,26.48,30.34,47.75,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",29.13,35.02,31.95,7.24,109.00
Total Current Liabilities,100.43,115.52,139.87,126.12,281.89
Total Long Term Debt,0.00,19.00,13.00,7.00,1.54
Total Debt,0.00,25.00,20.00,13.00,8.06
Deferred Income Tax,12.67,11.03,10.71,9.65,45.73
"Other Liabilities, Total",0,0.24,0.26,0.46,0.51
Total Liabilities,113.10,145.79,163.84,143.23,329.68
"Common Stock, Total",156.34,156.34,156.34,156.34,156.34
Retained Earnings (Accumulated Deficit),380.20,459.72,537.53,633.90,1202.57
Treasury Stock - Common,-0.82,-0.82,-0.82,-0.82,-0.82
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",18.78,17.37,15.97,0,0
Total Equity,554.50,632.61,709.01,789.42,1358.09
Total Liabilities & Shareholders' Equity,667.61,778.40,872.86,932.65,1687.77
Total Common Shares Outstanding,1482.17,1482.17,1482.17,1482.17,1482.17
"Tangible Book Value per Share, Common Eq",0.37,0.43,0.48,0.53,0.92
