Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,654.86,817.06,921.03,988.97,1829.88
Total Revenue,654.86,817.06,921.03,988.97,1829.88
"Selling/General/Admin. Expenses, Total",36.74,39.56,37.68,39.49,56.44
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",-2.42,8.18,-2.28,0.05,-0.53
Total Operating Expense,516.02,667.42,769.02,830.88,988.17
Operating Income,138.85,149.64,152.02,158.08,841.71
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-1.02,-0.95,-0.67,-0.36
"Other, Net",0,0,0,0,0
Net Income Before Taxes,138.85,148.62,151.07,157.41,841.35
Provision for Income Taxes,18.50,21.01,21.39,27.00,194.10
Net Income After Taxes,120.35,127.61,129.69,130.41,647.25
Net Income Before Extra. Items,120.35,127.61,129.69,130.41,647.25
Net Income,120.35,127.61,129.69,130.41,647.25
Income Available to Com Excl ExtraOrd,120.35,127.61,129.69,130.41,647.25
Income Available to Com Incl ExtraOrd,120.35,127.61,129.69,130.41,647.25
Diluted Net Income,120.35,127.61,129.69,130.41,647.25
Diluted Weighted Average Shares,1482.17,1482.17,1482.17,1481.95,1482.17
Diluted EPS Excluding ExtraOrd Items,0.08,0.09,0.09,0.09,0.44
DPS - Common Stock Primary Issue,0.03,0.04,0.03,0.04,0.18
Diluted Normalised EPS,0.08,0.09,0.09,0.09,0.44
