Fiscal Year,2014,2015,2016,2017,2018
Period Ended,30 Jun 2014,30 Jun 2015,30 Jun 2016,30 Jun 2017,30 Jun 2018
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-7.44,0.77,-12.68,1.13,-58.41
Depreciation/Depletion,14.39,15.66,15.87,15.96,15.98
Non-Cash Items,1.95,3.83,8.15,1.91,3.59
Cash Taxes Paid,-0.09,0.12,0.34,0.03,0.74
Changes in Working Capital,6.95,-13.63,4.29,-6.95,19.59
Cash from Operating Activities,15.85,6.62,15.64,12.05,-19.25
Capital Expenditures,-9.04,-5.78,-4.21,-5.21,-2.45
"Other Investing Cash Flow Items, Total",-10.66,-6.49,2.95,1.91,5.18
Cash from Investing Activities,-19.70,-12.28,-1.27,-3.30,2.73
Total Cash Dividends Paid,-2.24,-2.23,-2.97,-0.89,-1.19
"Issuance (Retirement) of Stock, Net",-0.19,-0.09,-0.08,0.00,0
Cash from Financing Activities,-1.95,8.77,-2.32,-17.10,3.42
Foreign Exchange Effects,0.02,0.01,0.02,0.02,0.06
Net Change in Cash,-5.79,3.12,12.08,-8.33,-13.04
