Fiscal Year,2014,2015,2016,2017,2018
Period Ended,30 Jun 2014,30 Jun 2015,30 Jun 2016,30 Jun 2017,30 Jun 2018
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,140.21,179.13,190.92,144.81,146.91
Total Revenue,140.21,179.13,190.92,144.81,146.91
"Selling/General/Admin. Expenses, Total",23.26,23.97,20.45,18.61,21.53
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.29,0.31,5.42,-0.18,-1.27
"Other Operating Expenses, Total",-1.24,-2.48,6.65,-3.77,-2.21
Total Operating Expense,145.73,175.78,200.86,141.15,201.49
Operating Income,-5.53,3.35,-9.95,3.67,-54.58
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.91,-2.59,-2.74,-2.54,-3.83
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-7.44,0.77,-12.68,1.13,-58.41
Provision for Income Taxes,-0.19,-0.03,0.17,0.08,0.42
Net Income After Taxes,-7.25,0.80,-12.85,1.05,-58.82
Net Income Before Extra. Items,-5.03,0.10,-11.37,0.80,-56.92
Net Income,-5.03,0.10,-11.37,0.80,-56.92
Income Available to Com Excl ExtraOrd,-5.03,0.10,-11.37,0.80,-56.92
Income Available to Com Incl ExtraOrd,-5.03,0.10,-11.37,0.80,-56.92
Diluted Net Income,-5.03,0.10,-11.37,0.80,-56.92
Diluted Weighted Average Shares,298.86,297.36,296.67,296.65,296.65
Diluted EPS Excluding ExtraOrd Items,-0.02,0.00,-0.04,0.00,-0.19
DPS - Common Stock Primary Issue,0.01,0.01,0.00,0.00,0
Diluted Normalised EPS,-0.02,0.00,-0.03,0.00,-0.19
