Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.20,-11.52,-11.53,-0.50,-19.92
Depreciation/Depletion,9.67,9.46,7.92,8.22,8.68
Non-Cash Items,2.45,6.38,2.74,-1.95,12.04
Cash Taxes Paid,0.55,0.40,0.47,0.66,0.25
Changes in Working Capital,-2.99,2.70,8.29,4.66,5.40
Cash from Operating Activities,10.33,7.03,7.41,10.43,6.20
Capital Expenditures,-8.62,-2.27,-1.69,-3.89,-1.98
"Other Investing Cash Flow Items, Total",0.11,0.39,2.13,14.86,1.14
Cash from Investing Activities,-8.51,-1.88,0.44,10.97,-0.84
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",2.79,0,0,0,0
Cash from Financing Activities,-2.84,-4.86,-8.40,-20.85,-5.75
Foreign Exchange Effects,0.04,0.07,-0.00,-0.01,-0.04
Net Change in Cash,-0.98,0.35,-0.55,0.54,-0.42
