Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,76.63,45.25,55.32,58.36,42.67
Total Revenue,76.63,45.25,55.32,58.36,42.67
"Selling/General/Admin. Expenses, Total",17.19,15.06,14.97,12.25,10.40
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.09,-0.24,0.32,-0.28,-3.86
"Other Operating Expenses, Total",-1.25,1.28,-0.90,-0.36,9.63
Total Operating Expense,73.02,49.25,60.11,60.06,60.41
Operating Income,3.61,-4.00,-4.80,-1.70,-17.75
"Interest Inc.(Exp.),Net-Non-Op., Total",-2.97,-2.19,-2.19,-2.06,-1.97
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.65,-6.19,-6.98,-3.76,-19.72
Provision for Income Taxes,-0.55,0.34,0.10,0.35,0.20
Net Income After Taxes,1.20,-6.53,-7.08,-4.11,-19.92
Net Income Before Extra. Items,0.14,-5.98,-7.21,-3.61,-15.40
Net Income,0.14,-10.98,-11.66,0.00,-15.40
Income Available to Com Excl ExtraOrd,0.14,-5.98,-7.21,-3.61,-15.40
Income Available to Com Incl ExtraOrd,0.14,-10.98,-11.66,0.00,-15.40
Diluted Net Income,0.14,-10.98,-11.66,0.00,-15.40
Diluted Weighted Average Shares,135.01,135.01,135.01,135.01,135.01
Diluted EPS Excluding ExtraOrd Items,0.00,-0.04,-0.05,-0.03,-0.11
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.00,-0.05,-0.05,-0.06,-0.18
