Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4224.05,3601.45,3551.74,3430.93,0
Depreciation/Depletion,2916.49,3003.34,3076.02,3079.67,0
Non-Cash Items,-60.17,-67.78,-141.16,-165.44,0
Cash Taxes Paid,967.82,645.48,825.55,735.24,1285.69
Changes in Working Capital,-1916.37,-797.22,-2241.53,-1710.49,4584.77
Cash from Operating Activities,5164.00,5739.79,4245.07,4634.67,4584.77
Capital Expenditures,-1765.11,-841.35,-743.56,-581.36,-463.65
"Other Investing Cash Flow Items, Total",139.22,-767.48,391.00,160.17,229.73
Cash from Investing Activities,-1625.89,-1608.83,-352.56,-421.19,-233.92
Total Cash Dividends Paid,-2848.53,-2273.60,-1709.12,-1261.37,-810.13
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-3421.03,-4362.76,-4094.24,-3739.66,-3582.43
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,117.07,-231.80,-201.73,473.81,768.42
