Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,Interim Report,ARS,ARS
Cash,0,311.35,319.22,59.25,345.04
Short Term Investments,0,127.00,107.00,7.00,7.00
Cash and Short Term Investments,494.57,438.35,426.22,66.25,352.04
"Accounts Receivable - Trade, Net",27.90,12.30,23.45,19.36,7.76
"Total Receivables, Net",38.32,179.63,220.90,165.84,42.45
Prepaid Expenses,0,4.02,14.24,9.04,5.88
"Other Current Assets, Total",0,0.00,38.85,18.05,1.23
Total Current Assets,567.17,647.44,802.46,351.94,548.31
"Property/Plant/Equipment, Total - Gross",0,216.09,1739.89,2002.17,2382.30
"Accumulated Depreciation, Total",0,-130.78,-147.33,-269.81,-364.93
"Property/Plant/Equipment, Total - Net",98.63,85.31,1592.56,1732.35,2017.37
"Goodwill, Net",2.50,2.50,10.35,10.35,10.35
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0.00,30.45,30.45,79.76
Total Assets,668.29,735.25,2435.81,2125.09,2655.78
Accounts Payable,0,7.12,60.66,46.34,55.34
Accrued Expenses,0,14.51,27.44,18.24,28.80
Notes Payable/Short Term Debt,0.00,0.00,1000.00,850.00,80.00
"Other Current liabilities, Total",3.72,44.94,197.60,58.36,105.97
Total Current Liabilities,52.12,66.57,1410.70,1098.30,321.73
Total Long Term Debt,0.00,0.00,156.25,36.03,1109.41
Total Debt,0.00,0.00,1281.25,1011.39,1241.03
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,52.12,66.57,1699.78,1291.49,1629.11
"Common Stock, Total",316.13,316.13,316.13,316.13,316.13
Retained Earnings (Accumulated Deficit),300.05,352.56,419.91,517.48,676.03
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,34.52
"Other Equity, Total",0,0,0,0,0
Total Equity,616.17,668.68,736.03,833.60,1026.67
Total Liabilities & Shareholders' Equity,668.29,735.25,2435.81,2125.09,2655.78
Total Common Shares Outstanding,640.00,640.00,640.00,640.00,640.00
"Tangible Book Value per Share, Common Eq",0.96,1.04,1.13,1.29,1.59
