Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,1559.88,1804.62,2259.48,3660.05,3182.34
Total Revenue,1559.88,1804.62,2259.48,3660.05,3182.34
"Selling/General/Admin. Expenses, Total",23.54,22.00,21.88,57.34,47.15
Depreciation/Amortisation,0.07,0.06,0.15,1.17,1.77
Unusual Expense (Income),0.00,0.11,0.51,0.00,1.92
"Other Operating Expenses, Total",-0.27,0.02,-1.14,-19.79,-52.72
Total Operating Expense,1455.67,1714.11,2147.45,3424.90,2891.87
Operating Income,104.21,90.52,112.03,235.15,290.47
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,-51.26,-38.41
"Other, Net",0,0,0,0,0
Net Income Before Taxes,104.21,90.52,112.03,183.89,252.06
Provision for Income Taxes,14.41,27.13,29.32,45.87,67.48
Net Income After Taxes,89.80,63.39,82.70,138.01,184.57
Net Income Before Extra. Items,89.80,63.39,82.70,113.69,158.55
Net Income,89.80,63.39,82.70,113.69,158.55
Income Available to Com Excl ExtraOrd,89.80,63.39,82.70,113.69,158.55
Income Available to Com Incl ExtraOrd,89.80,63.39,82.70,113.69,158.55
Diluted Net Income,89.80,63.39,82.70,113.69,158.55
Diluted Weighted Average Shares,640.00,640.00,640.00,640.00,640.00
Diluted EPS Excluding ExtraOrd Items,0.14,0.10,0.13,0.18,0.25
DPS - Common Stock Primary Issue,0.02,0.02,0.03,0.00,0.02
Diluted Normalised EPS,0.14,0.10,0.13,0.18,0.25
