Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,33.41,79.76,107.27,136.34,119.42
Total Revenue,33.41,79.76,107.27,136.34,119.42
"Selling/General/Admin. Expenses, Total",10.08,11.84,14.98,16.25,17.74
Depreciation/Amortisation,8.05,2.38,4.25,9.34,9.43
Unusual Expense (Income),-2.88,-3.89,-5.56,-4.02,-8.83
"Other Operating Expenses, Total",6.71,7.57,5.68,0.00,0.25
Total Operating Expense,40.88,78.23,92.72,117.21,104.20
Operating Income,-7.48,1.54,14.55,19.12,15.22
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0.60,1.02,0.90,0.21
"Other, Net",0,-0.04,-0.07,-0.06,-0.07
Net Income Before Taxes,-7.48,2.10,15.50,19.96,15.36
Provision for Income Taxes,-1.05,-0.18,1.92,0.55,2.16
Net Income After Taxes,-6.43,2.28,13.58,19.41,13.21
Net Income Before Extra. Items,-6.43,2.28,13.58,19.42,13.21
Net Income,-6.43,2.28,13.58,19.42,13.21
Income Available to Com Excl ExtraOrd,-6.43,2.28,13.58,19.42,13.21
Income Available to Com Incl ExtraOrd,-6.43,2.28,13.58,19.42,13.21
Diluted Net Income,-6.43,2.28,13.58,19.42,13.21
Diluted Weighted Average Shares,220.17,220.17,220.17,220.17,220.17
Diluted EPS Excluding ExtraOrd Items,-0.03,0.01,0.06,0.09,0.06
DPS - Common Stock Primary Issue,0.00,0.00,0.01,0.02,0.00
Diluted Normalised EPS,-0.04,-0.00,0.04,0.07,0.03
