Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,6.66,9.34,11.00,25.02,35.78
Short Term Investments,12.02,29.74,31.62,34.89,4.20
Cash and Short Term Investments,18.68,39.08,42.62,59.90,39.98
"Accounts Receivable - Trade, Net",8.06,11.36,35.01,16.87,11.82
"Total Receivables, Net",12.29,18.22,42.72,30.88,18.28
Prepaid Expenses,0.34,0.50,0.37,0.58,6.64
"Other Current Assets, Total",6.25,16.36,0.16,7.32,0.00
Total Current Assets,77.74,93.07,106.48,140.69,122.24
"Property/Plant/Equipment, Total - Gross",0,0,0,0,174.49
"Accumulated Depreciation, Total",0,0,0,0,-65.05
"Property/Plant/Equipment, Total - Net",104.41,74.10,86.56,84.43,109.44
"Goodwill, Net",0.08,0.08,0.08,0.08,0.08
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0.00,5.16,5.16,3.16
Total Assets,186.81,178.14,206.75,230.47,237.25
Accounts Payable,8.52,8.42,18.09,16.04,18.77
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",1.25,9.72,7.70,2.99,3.97
Total Current Liabilities,30.28,32.03,50.57,57.95,47.35
Total Long Term Debt,6.62,1.08,0.08,1.03,11.28
Total Debt,9.98,3.33,1.08,2.41,13.59
Deferred Income Tax,3.70,2.48,2.18,2.08,2.22
"Other Liabilities, Total",0.17,1.69,1.69,1.73,1.77
Total Liabilities,40.77,37.27,54.53,62.78,62.61
"Common Stock, Total",94.94,94.94,94.94,94.94,94.94
Retained Earnings (Accumulated Deficit),51.10,45.92,57.27,72.75,92.19
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,-4.84
"Other Equity, Total",0,0,0,0,-7.65
Total Equity,146.04,140.87,152.22,167.70,174.64
Total Liabilities & Shareholders' Equity,186.81,178.14,206.75,230.47,237.25
Total Common Shares Outstanding,220.17,220.17,220.17,220.17,220.17
"Tangible Book Value per Share, Common Eq",0.66,0.64,0.69,0.76,0.79
