Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-7.48,2.10,15.50,19.96,15.36
Depreciation/Depletion,8.68,8.93,8.89,10.05,10.41
Non-Cash Items,5.61,-4.04,-6.36,-3.83,-6.10
Cash Taxes Paid,5.66,0.03,-0.03,1.83,1.17
Changes in Working Capital,-20.15,11.14,-4.61,4.42,-25.03
Cash from Operating Activities,-13.33,18.13,13.42,30.59,-5.36
Capital Expenditures,-5.74,-2.99,-19.22,-22.29,-36.09
"Other Investing Cash Flow Items, Total",5.31,12.78,12.05,13.70,21.76
Cash from Investing Activities,-0.43,9.79,-7.17,-8.59,-14.33
Total Cash Dividends Paid,-1.65,0.00,-0.99,-2.75,-3.85
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-5.01,-7.48,-3.71,-5.66,-2.83
Foreign Exchange Effects,0.15,-0.87,0.51,-0.20,0.71
Net Change in Cash,-18.62,19.57,3.05,16.14,-21.81
