Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,13.39,-8.84,-0.97,-9.25,1.85
Depreciation/Depletion,1.04,1.03,1.06,1.36,1.23
Non-Cash Items,-8.10,0.20,-3.63,2.88,-1.98
Cash Taxes Paid,0.77,2.95,0.07,0.29,-0.02
Changes in Working Capital,-1.22,-24.63,3.83,-1.71,-11.27
Cash from Operating Activities,5.11,-32.23,0.30,-6.73,-10.18
Capital Expenditures,-2.60,-4.01,-0.68,-0.26,-0.27
"Other Investing Cash Flow Items, Total",-8.95,35.86,2.01,3.64,9.55
Cash from Investing Activities,-11.56,31.85,1.33,3.38,9.28
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-1.34,-11.77,-0.78,-0.45,-0.46
Foreign Exchange Effects,-0.08,-0.46,0.15,0.02,-0.03
Net Change in Cash,-7.87,-12.61,0.99,-3.77,-1.40
