Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,3.79,2.70,2.09,2.80,2.51
Depreciation/Depletion,1.26,1.26,1.12,1.45,1.68
Non-Cash Items,-0.39,-0.39,-0.43,-1.04,-0.89
Cash Taxes Paid,0.21,0.89,-0.07,0.34,0.07
Changes in Working Capital,4.89,-2.20,1.69,-1.30,0.71
Cash from Operating Activities,9.54,1.37,4.45,1.91,4.01
Capital Expenditures,-2.47,-0.69,-3.17,-7.06,-1.26
"Other Investing Cash Flow Items, Total",0.36,-4.83,0.59,0.90,1.24
Cash from Investing Activities,-2.11,-5.52,-2.58,-6.17,-0.02
Total Cash Dividends Paid,-0.82,-1.23,-0.82,-0.82,-1.23
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-0.85,-1.28,1.08,3.60,-1.63
Foreign Exchange Effects,0.48,-0.82,0.10,-0.25,-0.24
Net Change in Cash,7.06,-6.25,3.06,-0.91,2.11
