Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,79.14,91.95,78.38,62.84,57.15
Total Revenue,79.14,91.95,78.38,62.84,57.15
"Selling/General/Admin. Expenses, Total",9.35,9.09,8.02,8.33,7.47
Depreciation/Amortisation,0.56,0.62,0.59,0.55,0.52
Unusual Expense (Income),-0.09,-0.03,-0.01,-0.05,0.02
"Other Operating Expenses, Total",-0.25,-0.90,-0.40,-0.48,-1.27
Total Operating Expense,75.35,89.25,76.29,60.04,54.64
Operating Income,3.79,2.70,2.09,2.80,2.51
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,3.79,2.70,2.09,2.80,2.51
Provision for Income Taxes,0.46,0.30,0.08,0.45,0.36
Net Income After Taxes,3.33,2.40,2.01,2.35,2.15
Net Income Before Extra. Items,3.50,2.42,1.93,2.35,2.15
Net Income,3.50,2.42,1.93,2.35,2.15
Income Available to Com Excl ExtraOrd,3.50,2.42,1.93,2.35,2.15
Income Available to Com Incl ExtraOrd,3.50,2.42,1.93,2.35,2.15
Diluted Net Income,3.50,2.42,1.93,2.35,2.15
Diluted Weighted Average Shares,164.53,164.53,164.53,164.53,164.53
Diluted EPS Excluding ExtraOrd Items,0.02,0.01,0.01,0.01,0.01
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.01,0.01
Diluted Normalised EPS,0.02,0.01,0.01,0.01,0.01
