Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,106.17,127.92,131.88,100.96,130.72
Total Revenue,106.17,127.92,131.88,100.96,130.72
"Selling/General/Admin. Expenses, Total",20.30,23.34,23.99,20.80,21.21
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.74,-0.88,0,0.00,-3.15
"Other Operating Expenses, Total",-0.12,-1.70,-0.70,4.15,-0.53
Total Operating Expense,100.22,119.83,123.06,113.95,123.99
Operating Income,5.95,8.09,8.82,-12.99,6.73
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.45,-1.47,-1.57,-2.33,-2.10
"Other, Net",0,0,0,0,0
Net Income Before Taxes,4.50,6.62,7.25,-15.32,4.63
Provision for Income Taxes,2.01,0.84,2.45,-0.08,1.19
Net Income After Taxes,2.49,5.78,4.80,-15.24,3.44
Net Income Before Extra. Items,2.60,5.49,5.37,-15.48,1.74
Net Income,2.60,5.49,5.37,-15.48,1.74
Income Available to Com Excl ExtraOrd,2.60,5.49,5.37,-15.48,1.74
Income Available to Com Incl ExtraOrd,2.60,5.49,5.37,-15.48,1.74
Diluted Net Income,2.60,5.49,5.37,-15.48,1.74
Diluted Weighted Average Shares,334.16,371.32,385.80,387.03,387.03
Diluted EPS Excluding ExtraOrd Items,0.01,0.01,0.01,-0.04,0.00
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0,0.00
Diluted Normalised EPS,0.01,0.01,0.01,-0.04,-0.00
