Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4.50,6.97,7.25,-15.32,4.63
Depreciation/Depletion,5.90,6.28,6.25,11.87,11.04
Non-Cash Items,3.07,1.46,1.45,7.98,2.19
Cash Taxes Paid,1.40,2.06,0.85,1.23,0.87
Changes in Working Capital,-2.77,-9.16,-1.99,-6.21,3.19
Cash from Operating Activities,10.90,5.70,12.97,-1.68,21.05
Capital Expenditures,-7.11,-5.94,-8.45,-3.12,-16.48
"Other Investing Cash Flow Items, Total",-0.15,0.99,0.47,1.51,-0.34
Cash from Investing Activities,-7.26,-4.95,-7.97,-1.60,-16.82
Total Cash Dividends Paid,-0.17,-0.37,-1.55,-1.16,0.00
"Issuance (Retirement) of Stock, Net",0.09,1.12,0.00,0,0
Cash from Financing Activities,-2.24,-2.33,-2.00,-3.29,3.97
Foreign Exchange Effects,-0.10,0.02,-0.01,0.26,-0.10
Net Change in Cash,1.30,-1.55,2.99,-6.31,8.10
