Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,319.23,334.84,313.86,292.63,307.38
Total Revenue,319.23,334.84,313.86,292.63,307.38
"Selling/General/Admin. Expenses, Total",48.19,49.98,52.94,50.28,53.00
Depreciation/Amortisation,48.92,57.80,78.61,86.56,89.75
Unusual Expense (Income),11.27,8.72,3.86,3.98,3.77
"Other Operating Expenses, Total",12.96,13.21,9.92,8.09,15.67
Total Operating Expense,175.74,204.49,206.29,204.99,222.41
Operating Income,143.49,130.35,107.57,87.63,84.97
"Interest Inc.(Exp.),Net-Non-Op., Total",-53.09,-55.65,-53.35,-49.62,-46.87
"Other, Net",-6.85,-9.59,-23.62,-3.88,-4.32
Net Income Before Taxes,83.55,65.11,30.59,34.13,33.78
Provision for Income Taxes,23.55,28.33,22.86,14.72,16.11
Net Income After Taxes,60.00,36.78,7.73,19.41,17.68
Net Income Before Extra. Items,59.66,36.45,7.41,19.09,17.34
Net Income,59.66,36.45,7.41,19.09,17.34
Income Available to Com Excl ExtraOrd,59.66,36.45,7.41,19.09,17.34
Income Available to Com Incl ExtraOrd,59.66,36.45,7.41,19.09,17.34
Diluted Net Income,59.66,36.45,7.41,19.09,17.34
Diluted Weighted Average Shares,1436.80,1436.80,1436.80,1439.18,1632.56
Diluted EPS Excluding ExtraOrd Items,0.04,0.03,0.01,0.01,0.01
DPS - Common Stock Primary Issue,0.07,0.07,0.05,0.01,0.01
Diluted Normalised EPS,0.05,0.03,0.01,0.01,0.01
