Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,16.15,0.02
Cash and Short Term Investments,59.09,66.84,73.58,95.25,97.01
"Accounts Receivable - Trade, Net",14.80,11.85,13.47,11.96,15.55
"Total Receivables, Net",16.51,12.01,14.26,12.03,15.62
Prepaid Expenses,1.15,1.05,1.22,1.37,1.29
"Other Current Assets, Total",0.64,0.06,1.26,0.30,0.36
Total Current Assets,77.39,79.96,90.31,108.95,114.28
"Property/Plant/Equipment, Total - Gross",449.26,531.98,602.54,685.90,752.69
"Accumulated Depreciation, Total",-157.91,-211.13,-274.23,-347.11,-422.20
"Property/Plant/Equipment, Total - Net",291.35,320.85,328.31,338.80,330.49
"Goodwill, Net",7.79,7.84,7.78,7.82,8.20
"Intangibles, Net",2359.95,2383.21,2364.06,2382.73,2501.27
Long Term Investments,0,0,0,0,0
Total Assets,2737.41,2792.92,2791.52,2839.53,2955.81
Accounts Payable,17.31,21.69,23.13,39.28,23.55
Accrued Expenses,16.20,16.60,20.53,13.89,19.74
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",63.34,55.95,52.03,45.46,52.02
Total Current Liabilities,109.18,109.12,101.45,116.76,289.14
Total Long Term Debt,1294.95,1379.92,1504.72,1519.48,1345.13
Total Debt,1307.28,1394.79,1510.47,1537.62,1538.96
Deferred Income Tax,61.81,73.32,74.58,84.79,97.95
"Other Liabilities, Total",40.91,40.76,37.04,33.96,31.71
Total Liabilities,1509.18,1605.45,1720.12,1757.48,1766.25
"Common Stock, Total",1342.85,1342.85,1342.85,1343.85,1389.35
Retained Earnings (Accumulated Deficit),-182.76,-241.11,-345.30,-343.76,-343.63
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",68.14,85.73,73.84,81.96,143.84
Total Equity,1228.23,1187.47,1071.40,1082.05,1189.56
Total Liabilities & Shareholders' Equity,2737.41,2792.92,2791.52,2839.53,2955.81
Total Common Shares Outstanding,1436.80,1436.80,1436.80,1442.13,1806.35
"Tangible Book Value per Share, Common Eq",-0.79,-0.84,-0.91,-0.91,-0.73
