Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,60.00,36.78,7.73,19.41,17.68
Depreciation/Depletion,55.65,63.20,78.61,86.56,89.75
Non-Cash Items,74.31,100.53,98.56,69.17,67.08
Cash Taxes Paid,13.17,19.12,16.74,10.18,7.93
Changes in Working Capital,-4.79,-12.17,-24.94,-15.05,-5.87
Cash from Operating Activities,185.18,188.34,159.98,160.09,168.63
Capital Expenditures,-101.23,-99.10,-86.54,-91.92,-59.62
"Other Investing Cash Flow Items, Total",0.20,0.05,0.00,0.01,0.00
Cash from Investing Activities,-101.04,-99.05,-86.54,-91.91,-59.62
Total Cash Dividends Paid,-102.37,-93.39,-93.39,-17.27,-17.70
"Issuance (Retirement) of Stock, Net",0,0,0,0,45.00
Cash from Financing Activities,-85.98,-81.54,-66.69,-62.66,-91.12
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-1.84,7.75,6.74,5.53,17.90
