Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,62.17,75.44,73.95,80.54,68.63
Short Term Investments,2.21,4.31,3.13,4.45,23.84
Cash and Short Term Investments,64.39,79.76,77.08,85.00,92.47
"Accounts Receivable - Trade, Net",6.86,8.18,5.68,6.10,2.27
"Total Receivables, Net",8.77,11.61,9.54,9.51,3.13
Prepaid Expenses,1.32,1.54,1.76,2.06,2.05
"Other Current Assets, Total",28.05,0.42,0.52,0.24,0.46
Total Current Assets,102.52,93.38,88.94,96.83,98.13
"Property/Plant/Equipment, Total - Gross",0,269.93,251.92,227.35,225.86
"Accumulated Depreciation, Total",0,-2.65,-3.49,-3.98,-4.86
"Property/Plant/Equipment, Total - Net",0,267.28,248.43,223.37,221.01
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,2058.41,2172.12,2151.87,2106.96,2029.57
Total Assets,2161.00,2533.89,2494.69,2446.47,2361.35
Accounts Payable,3.55,0.74,0.93,1.18,4.20
Accrued Expenses,14.21,10.06,8.39,8.57,8.24
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",11.34,12.79,415.12,7.72,8.23
Total Current Liabilities,158.02,158.35,426.77,42.46,70.66
Total Long Term Debt,681.08,676.18,426.88,829.20,839.34
Total Debt,810.01,810.94,429.22,854.20,889.34
Deferred Income Tax,29.05,52.75,53.09,49.74,42.64
"Other Liabilities, Total",48.70,40.45,35.43,41.34,55.55
Total Liabilities,916.85,927.72,942.16,962.74,1008.19
"Common Stock, Total",1202.80,1497.06,1514.69,1531.83,1539.88
Retained Earnings (Accumulated Deficit),60.05,122.58,92.57,53.38,-112.34
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,5.64,9.11,2.46,0.00
"Other Equity, Total",-18.71,-19.11,-63.84,-103.94,-74.38
Total Equity,1244.15,1606.17,1552.53,1483.73,1353.16
Total Liabilities & Shareholders' Equity,2161.00,2533.89,2494.69,2446.47,2361.35
Total Common Shares Outstanding,1379.84,1845.57,1885.66,1909.66,1926.07
"Tangible Book Value per Share, Common Eq",0.90,0.87,0.82,0.78,0.70
