Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,20.15,40.52,34.15,36.82,7.94
Depreciation/Depletion,40.38,18.25,17.12,12.06,11.65
Non-Cash Items,9.31,-0.24,4.88,9.79,12.81
Cash Taxes Paid,11.45,8.85,10.26,9.82,-0.33
Changes in Working Capital,-92.95,43.95,-77.33,14.19,34.73
Cash from Operating Activities,-23.10,102.48,-21.18,72.87,67.12
Capital Expenditures,-29.03,-6.16,-3.65,-1.41,-1.86
"Other Investing Cash Flow Items, Total",-42.86,11.74,15.45,1.11,16.61
Cash from Investing Activities,-71.88,5.59,11.80,-0.30,14.76
Total Cash Dividends Paid,0,-42.03,-35.62,-37.80,-25.13
"Issuance (Retirement) of Stock, Net",-1.96,0.13,0.00,0.09,0.00
Cash from Financing Activities,-1.15,-85.85,5.36,-51.68,-67.28
Foreign Exchange Effects,-3.50,0.58,1.28,-1.88,-1.11
Net Change in Cash,-99.64,22.80,-2.74,19.02,13.48
