Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,473.61,477.58,489.14,522.04,568.20
Total Revenue,473.61,477.58,489.14,522.04,568.20
"Selling/General/Admin. Expenses, Total",255.95,260.80,259.51,274.06,295.64
Depreciation/Amortisation,14.67,14.99,18.27,29.26,35.50
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",29.40,31.16,30.99,31.58,12.85
Total Operating Expense,391.66,397.50,404.90,445.87,479.76
Operating Income,81.95,80.09,84.24,76.17,88.44
"Interest Inc.(Exp.),Net-Non-Op., Total",0.98,0.73,-0.10,-0.24,-4.00
"Other, Net",0,0,0,0,0
Net Income Before Taxes,82.93,80.82,84.13,75.92,84.44
Provision for Income Taxes,14.98,12.16,13.33,15.40,19.77
Net Income After Taxes,67.95,68.66,70.80,60.52,64.67
Net Income Before Extra. Items,70.21,70.78,71.06,60.27,65.89
Net Income,70.21,70.78,71.06,60.27,65.89
Income Available to Com Excl ExtraOrd,70.21,70.78,71.06,60.27,65.89
Income Available to Com Incl ExtraOrd,70.21,70.78,71.06,60.27,65.89
Diluted Net Income,70.21,70.78,71.06,60.27,65.89
Diluted Weighted Average Shares,1753.82,1770.76,1788.29,1815.82,1840.37
Diluted EPS Excluding ExtraOrd Items,0.04,0.04,0.04,0.03,0.04
DPS - Common Stock Primary Issue,0.02,0.04,0.03,0.03,0.03
Diluted Normalised EPS,0.04,0.04,0.04,0.03,0.04
