Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,67.95,68.66,70.80,60.52,64.67
Depreciation/Depletion,14.49,14.39,17.17,27.65,33.49
Non-Cash Items,15.28,10.94,12.07,15.06,34.99
Cash Taxes Paid,12.69,13.97,12.69,12.49,9.71
Changes in Working Capital,-19.04,-11.90,-9.62,6.31,-2.00
Cash from Operating Activities,78.85,82.69,91.53,111.15,133.15
Capital Expenditures,-14.50,-15.90,-31.41,-98.38,-60.06
"Other Investing Cash Flow Items, Total",-29.88,-124.77,-71.25,1.51,-2.13
Cash from Investing Activities,-44.37,-140.66,-102.66,-96.87,-62.19
Total Cash Dividends Paid,-13.98,-14.39,-15.63,-17.95,-19.19
"Issuance (Retirement) of Stock, Net",7.09,5.28,0.77,0.58,0.78
Cash from Financing Activities,-8.49,44.74,20.08,31.55,-20.88
Foreign Exchange Effects,-0.17,-0.38,-1.23,-1.06,1.23
Net Change in Cash,25.83,-13.61,7.71,44.77,51.31
