Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,7.08,5.37,-6.60,-1.16,-6.00
Depreciation/Depletion,2.13,1.95,1.95,2.36,2.31
Non-Cash Items,-5.17,-0.86,0.67,1.61,0.42
Cash Taxes Paid,3.68,1.01,1.02,-0.80,0.25
Changes in Working Capital,-15.36,-18.03,13.61,-2.78,-5.55
Cash from Operating Activities,-11.18,-11.43,9.76,0.18,-8.69
Capital Expenditures,-0.97,-0.81,-0.30,-0.66,-0.19
"Other Investing Cash Flow Items, Total",-3.25,0.75,5.04,0.03,0.10
Cash from Investing Activities,-4.22,-0.07,4.74,-0.63,-0.09
Total Cash Dividends Paid,-2.11,-2.82,-2.82,0.00,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,14.84,7.59,-16.35,-1.39,8.56
Foreign Exchange Effects,0.28,-0.87,0.07,-0.00,-0.10
Net Change in Cash,-0.28,-4.78,-1.79,-1.84,-0.32
