Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,15.50,10.70,8.97,7.12,6.81
Short Term Investments,1.52,1.42,1.40,1.38,1.46
Cash and Short Term Investments,17.02,12.13,10.37,8.51,8.27
"Accounts Receivable - Trade, Net",39.64,49.74,26.85,31.94,30.83
"Total Receivables, Net",42.33,54.78,40.33,41.09,38.03
Prepaid Expenses,0.34,0.32,0.25,0.74,0.34
"Other Current Assets, Total",0.08,0.06,0.08,0.05,0.04
Total Current Assets,77.77,81.82,64.43,61.48,64.04
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",33.43,32.43,31.32,22.80,20.81
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",1.92,1.79,1.65,1.52,0.68
Long Term Investments,5.17,5.31,6.53,18.69,19.81
Total Assets,144.50,145.90,117.75,116.43,118.58
Accounts Payable,15.47,13.54,8.24,7.30,8.96
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,22.17,19.31,8.07,11.52,18.75
"Other Current liabilities, Total",25.72,18.52,15.48,8.86,7.86
Total Current Liabilities,68.36,58.80,40.32,35.53,43.58
Total Long Term Debt,0.00,9.74,7.35,8.41,10.74
Total Debt,27.17,36.49,23.95,27.78,37.50
Deferred Income Tax,2.04,2.37,2.39,2.11,1.90
"Other Liabilities, Total",0.12,0.19,0.21,0.29,0.21
Total Liabilities,58.80,58.45,37.11,33.20,40.72
"Common Stock, Total",144.10,144.10,144.10,144.10,144.10
Retained Earnings (Accumulated Deficit),-70.28,-68.86,-77.48,-75.25,-80.26
Treasury Stock - Common,0,0,-0.03,-0.03,-0.03
Unrealised Gain (Loss),16.46,17.07,17.78,18.30,18.41
"Other Equity, Total",-4.58,-4.86,-3.75,-3.89,-4.36
Total Equity,85.71,87.45,80.63,83.23,77.86
Total Liabilities & Shareholders' Equity,144.50,145.90,117.75,116.43,118.58
Total Common Shares Outstanding,140.77,140.77,140.67,140.67,140.67
"Tangible Book Value per Share, Common Eq",0.60,0.61,0.56,0.58,0.55
