Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,21.09,10.25,7.68,1.67,7.85
Total Revenue,21.09,10.25,7.68,1.67,7.85
"Selling/General/Admin. Expenses, Total",39.78,4.38,4.24,2.03,2.72
Depreciation/Amortisation,0,0.23,0.27,0.58,0.18
Unusual Expense (Income),-0.11,-2.27,0.05,0.02,6.46
"Other Operating Expenses, Total",-6.21,3.70,-0.26,-0.55,-0.32
Total Operating Expense,52.03,15.32,12.32,2.52,12.42
Operating Income,-30.95,-5.07,-4.64,-0.85,-4.57
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.02,-0.01,-0.41,-1.07
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-30.95,-5.09,-4.65,-1.26,-5.64
Provision for Income Taxes,-3.08,0.20,0.49,0.03,0.49
Net Income After Taxes,-27.86,-5.29,-5.14,-1.28,-6.13
Net Income Before Extra. Items,-13.71,-5.25,-4.62,-1.33,-6.20
Net Income,-13.71,-5.25,-4.62,-1.33,-6.20
Income Available to Com Excl ExtraOrd,-13.71,-5.25,-4.62,-1.33,-6.20
Income Available to Com Incl ExtraOrd,-13.71,-5.25,-4.62,-1.33,-6.20
Diluted Net Income,-13.71,-5.25,-4.62,-1.33,-6.20
Diluted Weighted Average Shares,39.99,46.71,55.69,55.69,55.69
Diluted EPS Excluding ExtraOrd Items,-0.34,-0.11,-0.08,-0.02,-0.11
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.23,-0.14,-0.08,-0.02,-0.04
