Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-27.86,-5.09,-4.65,-1.26,-5.64
Depreciation/Depletion,3.35,0.57,0.42,0.58,1.78
Non-Cash Items,27.33,-2.67,-0.44,-0.07,7.28
Cash Taxes Paid,0.21,0.25,0.47,0.04,0.19
Changes in Working Capital,-4.47,4.19,0.71,-1.72,4.50
Cash from Operating Activities,-1.32,-3.01,-3.96,-2.46,7.92
Capital Expenditures,-0.55,-0.94,-0.15,-0.34,-0.12
"Other Investing Cash Flow Items, Total",0.29,-0.52,0.66,0.35,1.56
Cash from Investing Activities,-0.26,-1.46,0.51,0.01,1.44
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",2.96,3.23,0.00,0,0
Cash from Financing Activities,1.36,4.06,-1.82,0.43,-1.30
Foreign Exchange Effects,-0.24,-0.38,-0.14,0.03,-0.20
Net Change in Cash,-0.47,-0.79,-5.41,-1.99,7.86
