Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.00,11.18,19.59,23.90,11.70
Total Revenue,0.00,11.18,19.59,23.90,11.70
"Selling/General/Admin. Expenses, Total",1.19,3.99,6.09,8.53,5.89
Depreciation/Amortisation,0.01,0,0,0.92,0.92
Unusual Expense (Income),0,-35.53,1.11,5.69,1.60
"Other Operating Expenses, Total",0.00,0.24,0.34,-0.40,-0.26
Total Operating Expense,1.21,-23.69,21.53,29.63,16.19
Operating Income,-1.21,34.87,-1.93,-5.73,-4.50
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.00,0.04,0.20,-0.16,-0.31
"Other, Net",0,-0.00,0,-0.00,-0.00
Net Income Before Taxes,-1.21,34.91,-1.73,-5.89,-4.81
Provision for Income Taxes,0.00,0.18,-0.04,0.04,-0.56
Net Income After Taxes,-1.21,34.74,-1.69,-5.93,-4.25
Net Income Before Extra. Items,-1.21,34.74,-1.69,-5.90,-4.24
Net Income,-1.22,29.34,-5.70,-5.90,-4.24
Income Available to Com Excl ExtraOrd,-1.21,34.74,-1.69,-5.90,-4.24
Income Available to Com Incl ExtraOrd,-1.22,29.34,-5.70,-5.90,-4.24
Diluted Net Income,-1.22,29.34,-5.70,-5.90,-4.24
Diluted Weighted Average Shares,205.44,1732.51,2341.30,1780.85,1780.86
Diluted EPS Excluding ExtraOrd Items,-0.01,0.02,-0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,0.01,-0.00,-0.00,-0.00
