Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.22,34.91,-1.73,-5.89,-4.81
Depreciation/Depletion,1.69,4.66,3.02,3.93,0.48
Non-Cash Items,0.44,-35.05,-3.06,6.00,6.59
Cash Taxes Paid,0.04,0.04,0.95,0.79,1.36
Changes in Working Capital,0.45,0.11,3.02,4.16,-2.39
Cash from Operating Activities,1.36,5.04,1.75,9.11,0.79
Capital Expenditures,-0.54,-2.20,-0.25,-0.01,-0.10
"Other Investing Cash Flow Items, Total",0.19,-14.16,6.97,0.05,0.01
Cash from Investing Activities,-0.35,-16.36,6.72,0.04,-0.09
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",9.63,3.29,0.09,0.00,0.00
Cash from Financing Activities,8.14,3.84,-8.26,-5.63,-0.57
Foreign Exchange Effects,-0.02,0.00,0.00,0,0
Net Change in Cash,9.13,-7.48,0.21,3.53,0.14
