Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.61,0.47,0.76,-2.80,0.13
Depreciation/Depletion,0.75,0.69,0.65,0.69,0.79
Non-Cash Items,-0.06,0.67,0.57,1.98,0.59
Cash Taxes Paid,0.15,-0.03,-0.03,0.04,-0.01
Changes in Working Capital,5.43,-3.12,-1.14,1.80,-3.08
Cash from Operating Activities,6.72,-1.29,0.85,1.67,-1.56
Capital Expenditures,-0.29,-3.26,-0.09,-0.82,-0.45
"Other Investing Cash Flow Items, Total",0.04,0.00,0.01,0.25,0.00
Cash from Investing Activities,-0.24,-3.26,-0.08,-0.56,-0.45
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.56,0,0,0,3.76
Cash from Financing Activities,-5.17,2.26,-0.45,-1.35,4.11
Foreign Exchange Effects,0.05,-0.14,0.01,-0.01,-0.02
Net Change in Cash,1.36,-2.43,0.32,-0.25,2.08
