Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,23.27,28.76,29.70,7.84,7.18
Short Term Investments,96.69,159.29,280.35,306.18,281.74
Cash and Short Term Investments,119.96,188.05,310.05,314.02,288.93
"Accounts Receivable - Trade, Net",2.27,2.46,3.35,4.39,4.48
"Total Receivables, Net",8.53,3.77,4.67,7.22,7.34
Prepaid Expenses,0.65,0.96,1.09,1.60,1.20
"Other Current Assets, Total",53.37,141.21,43.78,17.38,18.25
Total Current Assets,335.48,336.80,362.34,343.04,318.58
"Property/Plant/Equipment, Total - Gross",773.76,861.26,853.33,928.46,783.43
"Accumulated Depreciation, Total",-46.65,-64.11,-86.56,-113.21,-123.95
"Property/Plant/Equipment, Total - Net",727.11,797.14,766.77,815.25,659.48
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,171.49,372.83,411.49,457.92,598.02
Total Assets,1265.70,1508.92,1555.32,1633.57,1593.17
Accounts Payable,15.86,10.36,3.95,3.85,2.17
Accrued Expenses,6.49,8.09,5.99,8.49,5.48
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",11.38,45.81,15.47,12.08,10.93
Total Current Liabilities,374.72,538.03,403.03,654.73,522.70
Total Long Term Debt,58.17,92.24,306.46,122.28,249.89
Total Debt,399.17,566.01,684.07,752.60,754.00
Deferred Income Tax,84.42,82.68,80.94,79.20,76.63
"Other Liabilities, Total",29.57,5.00,3.23,3.72,3.15
Total Liabilities,550.47,721.54,797.11,863.40,855.73
"Common Stock, Total",84.45,84.45,84.45,84.45,84.45
Retained Earnings (Accumulated Deficit),640.83,714.24,697.26,712.30,670.88
Treasury Stock - Common,-1.10,-1.10,-1.10,-1.10,-1.10
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-8.94,-10.21,-22.39,-25.48,-16.78
Total Equity,715.23,787.38,758.21,770.16,737.45
Total Liabilities & Shareholders' Equity,1265.70,1508.92,1555.32,1633.57,1593.17
Total Common Shares Outstanding,470.56,470.56,470.56,470.56,470.56
"Tangible Book Value per Share, Common Eq",1.52,1.67,1.61,1.64,1.57
