Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,82.73,249.13,187.48,132.22,79.55
Total Revenue,82.73,249.13,187.48,132.22,79.55
"Selling/General/Admin. Expenses, Total",34.15,40.76,41.56,40.63,34.52
Depreciation/Amortisation,16.73,19.89,23.19,27.00,25.07
Unusual Expense (Income),-41.39,-42.94,3.75,-8.25,3.71
"Other Operating Expenses, Total",20.36,28.61,31.56,43.41,16.12
Total Operating Expense,23.53,161.17,160.01,116.95,91.14
Operating Income,59.20,87.96,27.48,15.27,-11.59
"Interest Inc.(Exp.),Net-Non-Op., Total",-4.55,6.86,-31.11,8.75,-25.57
"Other, Net",0,0,0,0,0
Net Income Before Taxes,54.71,94.99,-3.64,24.03,-36.84
Provision for Income Taxes,9.29,14.48,6.38,1.87,-0.07
Net Income After Taxes,45.42,80.51,-10.03,22.16,-36.77
Net Income Before Extra. Items,45.44,80.47,-9.93,22.10,-36.71
Net Income,45.44,80.47,-9.93,22.10,-36.71
Income Available to Com Excl ExtraOrd,45.44,80.47,-9.93,22.10,-36.71
Income Available to Com Incl ExtraOrd,45.44,80.47,-9.93,22.10,-36.71
Diluted Net Income,45.44,80.47,-9.93,22.10,-36.71
Diluted Weighted Average Shares,470.56,470.56,470.56,470.56,470.56
Diluted EPS Excluding ExtraOrd Items,0.10,0.17,-0.02,0.05,-0.08
DPS - Common Stock Primary Issue,0.01,0.02,0.02,0.02,0.01
Diluted Normalised EPS,0.02,0.09,-0.02,0.03,-0.07
