Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,78.35,85.49,89.79,88.04,75.32
Total Revenue,78.35,85.49,89.79,88.04,75.32
"Selling/General/Admin. Expenses, Total",44.06,47.24,50.98,50.74,44.19
Depreciation/Amortisation,0.94,1.29,1.40,1.34,1.26
Unusual Expense (Income),3.05,0.38,0.05,0.59,-4.09
"Other Operating Expenses, Total",-1.33,-1.50,-1.04,0.57,-2.54
Total Operating Expense,75.92,80.75,84.38,86.32,65.34
Operating Income,2.43,4.74,5.41,1.72,9.98
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,2.43,4.74,5.41,1.72,9.98
Provision for Income Taxes,0.69,0.95,1.07,0.87,1.24
Net Income After Taxes,1.75,3.78,4.34,0.85,8.74
Net Income Before Extra. Items,1.75,3.78,4.34,0.85,8.74
Net Income,1.75,3.78,4.34,0.85,8.74
Income Available to Com Excl ExtraOrd,1.75,3.78,4.34,0.85,8.74
Income Available to Com Incl ExtraOrd,1.75,3.78,4.34,0.85,8.74
Diluted Net Income,1.75,3.78,4.34,0.85,8.74
Diluted Weighted Average Shares,121.37,121.37,121.37,121.37,121.37
Diluted EPS Excluding ExtraOrd Items,0.01,0.03,0.04,0.01,0.07
DPS - Common Stock Primary Issue,0.03,0.03,0.03,0.02,0.02
Diluted Normalised EPS,0.03,0.03,0.04,0.01,0.04
