Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,15.56,10.68,15.45,11.75,25.19
Short Term Investments,0,2.10,0,0,0
Cash and Short Term Investments,15.56,12.79,15.45,11.75,25.19
"Accounts Receivable - Trade, Net",0.25,0.28,0.34,2.74,1.29
"Total Receivables, Net",0.25,0.28,0.96,2.74,1.29
Prepaid Expenses,2.94,1.19,1.01,1.09,1.04
"Other Current Assets, Total",1.04,1.02,0.76,3.86,3.56
Total Current Assets,20.49,16.46,19.27,20.71,32.13
"Property/Plant/Equipment, Total - Gross",0,56.27,0,0,0
"Accumulated Depreciation, Total",0,-24.71,0,0,0
"Property/Plant/Equipment, Total - Net",27.57,31.56,28.45,44.49,41.06
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.35,0.29,0.23,0.19,0.16
Long Term Investments,0.27,0.53,0.39,0.00,0.00
Total Assets,50.71,51.27,50.92,67.76,75.87
Accounts Payable,0,4.15,0,0,0
Accrued Expenses,0,2.68,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3.58,4.32,3.89,3.63,4.15
Total Current Liabilities,16.18,12.75,12.95,23.15,24.64
Total Long Term Debt,6.19,9.69,8.25,17.05,16.71
Total Debt,10.54,11.28,9.83,28.28,27.83
Deferred Income Tax,0.96,1.34,1.26,1.16,0.82
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,23.34,23.77,22.46,41.37,42.16
"Common Stock, Total",13.96,13.96,13.96,13.96,13.96
Retained Earnings (Accumulated Deficit),13.41,13.53,14.49,12.43,19.75
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,27.37,27.50,28.46,26.39,33.71
Total Liabilities & Shareholders' Equity,50.71,51.27,50.92,67.76,75.87
Total Common Shares Outstanding,121.37,121.37,121.37,121.37,121.37
"Tangible Book Value per Share, Common Eq",0.22,0.22,0.23,0.22,0.28
