Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,214.37,229.19,222.74,238.19,210.53
Total Revenue,214.37,229.19,222.74,238.19,210.53
"Selling/General/Admin. Expenses, Total",0.45,0.41,0.42,0.41,0.40
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.27,-52.18,0.10,4.78,-34.62
"Other Operating Expenses, Total",1.34,0.58,1.06,-10.73,0.91
Total Operating Expense,68.72,42.28,91.51,83.31,58.11
Operating Income,145.65,186.91,131.23,154.88,152.42
"Interest Inc.(Exp.),Net-Non-Op., Total",0,23.87,54.48,86.18,-116.18
"Other, Net",0,-3.51,-1.69,0.16,-7.90
Net Income Before Taxes,145.65,207.26,184.02,241.22,28.34
Provision for Income Taxes,41.64,64.21,56.55,74.60,40.37
Net Income After Taxes,104.01,143.05,127.47,166.63,-12.03
Net Income Before Extra. Items,106.61,144.70,128.56,165.42,-12.03
Net Income,106.61,144.70,128.56,165.42,-12.03
Income Available to Com Excl ExtraOrd,106.61,144.70,128.56,165.42,-12.64
Income Available to Com Incl ExtraOrd,106.61,144.70,128.56,165.42,-12.64
Diluted Net Income,106.61,144.70,128.56,165.42,-12.64
Diluted Weighted Average Shares,868.26,904.53,985.65,1079.60,1250.08
Diluted EPS Excluding ExtraOrd Items,0.12,0.16,0.13,0.15,-0.01
DPS - Common Stock Primary Issue,0.10,0.10,0.10,0.10,0.06
Diluted Normalised EPS,0.12,0.12,0.13,0.16,-0.03
