Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,47.04,0,6.21,12.36,7.36
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,47.04,186.52,173.90,139.92,208.44
"Accounts Receivable - Trade, Net",1.48,35.60,107.04,124.37,148.35
"Total Receivables, Net",6.28,35.60,107.04,124.37,148.35
Prepaid Expenses,5.41,0,0,0,0
"Other Current Assets, Total",1.15,0.13,0.12,109.24,223.37
Total Current Assets,59.87,222.24,281.07,373.53,580.16
"Property/Plant/Equipment, Total - Gross",17.59,17.27,16.43,19.86,20.06
"Accumulated Depreciation, Total",-13.55,-14.30,-14.10,-17.46,-17.67
"Property/Plant/Equipment, Total - Net",4.03,2.96,2.34,2.40,2.39
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,2717.45,2441.02,2696.79,3428.46,3726.43
Total Assets,2783.47,2668.07,2982.69,3805.65,4310.26
Accounts Payable,4.12,0,0,0,0
Accrued Expenses,29.83,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",81.49,33.43,29.24,55.40,78.31
Total Current Liabilities,115.44,92.62,251.16,417.07,415.67
Total Long Term Debt,977.75,747.51,876.78,1200.46,1211.01
Total Debt,977.75,747.51,1038.02,1411.16,1370.66
Deferred Income Tax,236.43,227.73,250.65,274.75,284.71
"Other Liabilities, Total",2.17,32.12,32.54,39.71,54.03
Total Liabilities,1351.66,1119.30,1429.47,1931.98,1965.40
"Common Stock, Total",0,0,0,0,0
Retained Earnings (Accumulated Deficit),1395.63,1548.77,1656.04,2039.42,2263.73
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",36.18,0,-102.82,-165.75,81.12
Total Equity,1431.81,1548.77,1553.22,1873.67,2344.85
Total Liabilities & Shareholders' Equity,2783.47,2668.07,2982.69,3805.65,4310.26
Total Common Shares Outstanding,877.46,974.87,989.32,1214.14,1506.43
"Tangible Book Value per Share, Common Eq",1.63,1.59,1.57,1.54,1.56
