Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,149.09,82.13,65.17,77.83,77.92
Depreciation/Depletion,6.79,10.84,12.58,77.98,78.93
Non-Cash Items,-45.27,-7.02,-3.11,12.45,-2.37
Cash Taxes Paid,33.29,19.12,23.04,23.44,13.44
Changes in Working Capital,-17.37,-4.44,-0.24,33.36,-21.14
Cash from Operating Activities,93.84,81.99,74.88,201.63,133.34
Capital Expenditures,-16.75,-129.46,-1.92,-17.86,-14.15
"Other Investing Cash Flow Items, Total",-1.74,-6.20,-34.60,-9.22,-11.70
Cash from Investing Activities,-18.48,-135.66,-36.52,-27.08,-25.85
Total Cash Dividends Paid,-42.52,-33.19,-18.65,-29.23,-24.06
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-55.14,-48.92,-18.76,-122.05,-42.75
Foreign Exchange Effects,-0.54,1.36,0.83,0.53,-0.44
Net Change in Cash,19.68,-101.23,20.43,53.02,64.31
