Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,287.83,186.60,207.02,260.04,324.35
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,287.83,186.60,207.02,260.04,324.35
"Accounts Receivable - Trade, Net",0.76,0.97,1.98,4.17,37.00
"Total Receivables, Net",17.60,29.67,35.25,51.50,96.96
Prepaid Expenses,22.14,18.50,9.41,13.96,67.53
"Other Current Assets, Total",21.75,21.71,42.54,13.72,0.09
Total Current Assets,463.10,361.20,394.37,457.01,648.47
"Property/Plant/Equipment, Total - Gross",70.58,200.02,201.93,479.82,427.14
"Accumulated Depreciation, Total",-24.61,-39.93,-56.66,-64.05,-76.17
"Property/Plant/Equipment, Total - Net",45.97,160.10,145.28,415.77,350.97
"Goodwill, Net",3.81,3.81,3.81,3.81,3.81
"Intangibles, Net",2.51,2.03,1.55,0.00,0
Long Term Investments,28.48,29.58,29.10,37.28,51.12
Total Assets,561.62,574.02,594.50,948.95,1092.30
Accounts Payable,215.21,214.01,207.79,248.87,279.93
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,2.57
"Other Current liabilities, Total",131.10,136.94,155.65,193.02,277.70
Total Current Liabilities,346.31,350.95,363.43,505.86,622.99
Total Long Term Debt,0.00,0.00,0.00,247.93,241.64
Total Debt,0.00,0.00,0.00,311.89,307.00
Deferred Income Tax,4.87,8.23,11.62,12.48,14.52
"Other Liabilities, Total",50.00,42.54,24.99,0.00,0
Total Liabilities,401.18,401.72,400.04,766.27,879.15
"Common Stock, Total",67.15,67.15,67.15,67.15,67.15
Retained Earnings (Accumulated Deficit),104.26,130.54,152.35,140.14,171.32
Treasury Stock - Common,-9.01,-24.74,-24.85,-24.85,-25.03
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-1.96,-0.66,-0.19,0.24,-0.29
Total Equity,160.44,172.29,194.45,182.68,213.15
Total Liabilities & Shareholders' Equity,561.62,574.02,594.50,948.95,1092.30
Total Common Shares Outstanding,194.78,191.85,191.83,191.83,191.77
"Tangible Book Value per Share, Common Eq",0.79,0.87,0.99,0.93,1.09
