Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-8.28,-1.42,-2.10,-4.89,-7.66
Depreciation/Depletion,0.09,0.05,0.05,0.15,0.16
Non-Cash Items,2.39,-0.51,-0.28,1.74,4.66
Cash Taxes Paid,0,0.00,0.16,-0.16,0.00
Changes in Working Capital,4.03,0.07,-0.65,0.84,-0.26
Cash from Operating Activities,-1.77,-1.81,-2.98,-2.16,-3.09
Capital Expenditures,-0.04,-0.02,-0.01,-0.02,-0.00
"Other Investing Cash Flow Items, Total",-4.62,-2.47,-0.92,0.00,0
Cash from Investing Activities,-4.65,-2.49,-0.93,-0.02,-0.00
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",5.78,-0.03,-0.03,-0.09,2.53
Cash from Financing Activities,7.63,3.73,3.41,2.11,4.74
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,1.20,-0.58,-0.49,-0.07,1.64
