Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,0.35,0.58,0.75,0.00,0.00
Total Revenue,0.35,0.58,0.75,0.00,0.00
"Selling/General/Admin. Expenses, Total",1.42,0.83,0.78,1.07,1.60
Depreciation/Amortisation,0.09,0.05,0.05,0.15,0.16
Unusual Expense (Income),0.21,0,0,0,0
"Other Operating Expenses, Total",6.89,1.11,-8.23,3.61,5.78
Total Operating Expense,8.63,2.00,-7.40,4.83,7.54
Operating Income,-8.28,-1.42,8.14,-4.83,-7.54
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.09,-0.06,-0.12
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-8.28,-1.42,8.05,-4.89,-7.66
Provision for Income Taxes,-0.01,0.00,0.16,-0.16,0.00
Net Income After Taxes,-8.28,-1.42,7.89,-4.73,-7.66
Net Income Before Extra. Items,-8.28,-1.42,7.89,-3.14,-6.26
Net Income,-8.28,-1.42,7.89,-3.14,-6.26
Income Available to Com Excl ExtraOrd,-8.28,-1.42,7.89,-3.14,-6.26
Income Available to Com Incl ExtraOrd,-8.28,-1.42,7.89,-3.14,-6.26
Diluted Net Income,-8.28,-1.42,7.89,-3.14,-6.26
Diluted Weighted Average Shares,1148.34,2132.24,3132.15,4181.20,5075.77
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.00,0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,-0.00,0.00,-0.00,-0.00
