Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,17.87,23.08,9.59,10.55,19.27
Short Term Investments,28.87,24.77,18.43,17.81,17.33
Cash and Short Term Investments,46.74,47.86,28.02,28.36,36.60
"Accounts Receivable - Trade, Net",7.95,6.96,8.24,5.66,6.23
"Total Receivables, Net",21.47,10.19,12.33,8.72,8.84
Prepaid Expenses,0.22,0.22,0.18,0.15,0.15
"Other Current Assets, Total",19.00,27.60,22.78,28.91,25.41
Total Current Assets,87.43,85.87,63.31,66.15,70.99
"Property/Plant/Equipment, Total - Gross",9.36,9.27,9.41,9.48,9.61
"Accumulated Depreciation, Total",-4.68,-4.82,-4.97,-5.22,-5.51
"Property/Plant/Equipment, Total - Net",4.67,4.45,4.44,4.26,4.10
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,174.89,166.17,209.69,203.84,194.62
Total Assets,274.36,262.07,291.38,289.58,285.79
Accounts Payable,1.25,0.97,2.30,2.54,2.46
Accrued Expenses,1.94,2.22,2.38,2.40,2.20
Notes Payable/Short Term Debt,0.00,0.00,0.10,0.20,0.23
"Other Current liabilities, Total",3.34,4.20,4.68,4.14,6.26
Total Current Liabilities,64.24,60.57,74.58,70.59,83.95
Total Long Term Debt,11.21,0.00,17.22,17.89,4.40
Total Debt,68.92,53.18,82.44,79.40,77.43
Deferred Income Tax,4.03,3.97,4.91,5.07,4.91
"Other Liabilities, Total",0.46,0.39,5.54,5.57,5.47
Total Liabilities,79.94,64.93,102.26,99.10,98.71
"Common Stock, Total",172.15,172.15,172.15,172.15,172.15
Retained Earnings (Accumulated Deficit),38.79,39.47,43.26,43.09,40.46
Treasury Stock - Common,-0.10,-0.16,-0.26,-0.26,-0.26
Unrealised Gain (Loss),6.33,7.56,-2.21,-1.68,-3.14
"Other Equity, Total",-22.76,-21.87,-23.84,-22.82,-22.14
Total Equity,194.42,197.14,189.12,190.48,187.08
Total Liabilities & Shareholders' Equity,274.36,262.07,291.38,289.58,285.79
Total Common Shares Outstanding,653.17,652.96,652.66,652.66,652.66
"Tangible Book Value per Share, Common Eq",0.30,0.30,0.29,0.29,0.29
