Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0,0,29.62,32.09,18.41
Total Revenue,0.00,0.00,29.62,32.09,18.41
"Selling/General/Admin. Expenses, Total",8.32,13.99,5.88,7.48,8.11
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-43.16,-30.90,0,0,0
"Other Operating Expenses, Total",0.61,-0.52,-2.37,2.45,1.84
Total Operating Expense,-14.65,11.98,28.42,36.04,22.92
Operating Income,14.65,-11.98,1.20,-3.95,-4.51
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.29,-0.17,-0.22
"Other, Net",0,0,0,0,0
Net Income Before Taxes,14.65,-11.98,0.91,-4.12,-4.73
Provision for Income Taxes,1.93,-2.43,-0.41,0.58,0.35
Net Income After Taxes,12.72,-9.55,1.32,-4.71,-5.08
Net Income Before Extra. Items,12.74,-9.57,0.87,-4.74,-4.79
Net Income,12.74,-9.57,0.87,-4.74,-4.79
Income Available to Com Excl ExtraOrd,12.74,-9.57,0.87,-4.74,-4.79
Income Available to Com Incl ExtraOrd,12.74,-9.57,0.87,-4.74,-4.79
Diluted Net Income,12.74,-9.57,0.87,-4.74,-4.79
Diluted Weighted Average Shares,138.23,171.13,193.70,193.51,187.36
Diluted EPS Excluding ExtraOrd Items,0.09,-0.06,0.00,-0.02,-0.03
DPS - Common Stock Primary Issue,0,0.00,0.01,0.01,0.00
Diluted Normalised EPS,-0.11,-0.17,0.01,-0.02,-0.02
