Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,14.65,-11.98,0.91,-3.39,-2.23
Depreciation/Depletion,0.85,0.45,0.23,0.20,1.24
Non-Cash Items,-14.92,7.26,-3.28,-2.06,-0.92
Cash Taxes Paid,0.61,7.28,0.46,1.99,1.53
Changes in Working Capital,-13.86,8.12,14.56,19.99,-2.85
Cash from Operating Activities,-13.27,3.85,12.42,14.75,-4.77
Capital Expenditures,-0.29,-0.28,-0.15,-0.08,-0.60
"Other Investing Cash Flow Items, Total",-23.71,-1.58,-0.06,-0.22,-6.65
Cash from Investing Activities,-24.00,-1.87,-0.21,-0.30,-7.25
Total Cash Dividends Paid,0.00,0,-0.12,-1.69,-2.58
"Issuance (Retirement) of Stock, Net",2.45,13.25,0.00,-0.29,-2.05
Cash from Financing Activities,2.65,8.80,1.67,-5.45,-3.87
Foreign Exchange Effects,-0.70,-0.08,0.30,-1.23,-0.05
Net Change in Cash,-35.32,10.70,14.19,7.77,-15.94
