Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,51.12,17.27,26.72,8.47,39.45
Short Term Investments,7.34,219.83,98.27,0.05,0.00
Cash and Short Term Investments,58.46,237.10,124.99,8.52,39.45
"Accounts Receivable - Trade, Net",6.23,42.72,2.84,8.79,63.12
"Total Receivables, Net",112.28,46.50,7.21,12.27,67.98
Prepaid Expenses,1.86,33.73,3.15,1.73,1.54
"Other Current Assets, Total",0.19,43.96,7.12,29.92,88.33
Total Current Assets,724.31,629.76,1531.82,1851.49,1944.85
"Property/Plant/Equipment, Total - Gross",7.46,3.20,3.36,7.18,7.13
"Accumulated Depreciation, Total",-1.58,-1.39,-1.72,-4.02,-5.35
"Property/Plant/Equipment, Total - Net",5.88,1.81,1.64,3.16,1.78
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,243.44,291.55,320.72,306.18,221.20
Total Assets,975.56,923.12,1854.18,2167.98,2176.01
Accounts Payable,29.29,10.87,8.96,25.82,27.77
Accrued Expenses,6.57,3.41,3.72,5.63,16.92
Notes Payable/Short Term Debt,52.71,32.96,21.32,0.00,0.00
"Other Current liabilities, Total",164.79,28.27,3.45,70.31,211.57
Total Current Liabilities,442.81,144.73,115.34,150.21,269.81
Total Long Term Debt,24.80,104.04,1068.00,1394.99,1295.96
Total Debt,266.96,206.23,1167.20,1443.44,1309.51
Deferred Income Tax,14.43,6.15,4.07,4.24,4.01
"Other Liabilities, Total",0,0,0,7.33,6.75
Total Liabilities,485.71,267.99,1188.35,1535.86,1558.06
"Common Stock, Total",382.92,526.43,522.94,520.43,520.43
Retained Earnings (Accumulated Deficit),103.86,129.88,135.75,126.84,111.85
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,5.89,8.49,-15.63,-6.53
"Other Equity, Total",3.07,-7.08,-1.36,0.48,-7.80
Total Equity,489.84,655.12,665.82,632.12,617.95
Total Liabilities & Shareholders' Equity,975.56,923.12,1854.18,2167.98,2176.01
Total Common Shares Outstanding,2942.96,4306.14,4266.14,4236.14,4236.14
"Tangible Book Value per Share, Common Eq",0.17,0.15,0.16,0.15,0.15
