Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,14.23,10.13,7.78,19.79,41.68
Short Term Investments,15.05,30.18,29.29,39.62,46.83
Cash and Short Term Investments,29.28,40.31,37.07,59.41,88.51
"Accounts Receivable - Trade, Net",1.22,0.99,1.36,17.83,13.43
"Total Receivables, Net",9.40,11.37,13.42,32.50,27.69
Prepaid Expenses,1.36,0.64,0.65,2.20,2.54
"Other Current Assets, Total",0.54,0.54,0.43,0.32,1258.83
Total Current Assets,40.58,52.87,51.57,94.43,1377.57
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0.49,0.51,0.39,0.27,0.23
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",9.20,4.75,24.47,19.17,14.17
Long Term Investments,3408.54,3515.15,4494.54,6774.01,5374.21
Total Assets,3459.43,3573.57,4571.14,6888.19,6766.40
Accounts Payable,4.49,2.99,3.45,0,0
Accrued Expenses,22.70,25.80,31.05,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",46.41,145.02,44.64,19.16,42.19
Total Current Liabilities,415.39,687.82,81.13,672.95,498.23
Total Long Term Debt,961.95,748.32,1711.33,2136.30,2349.63
Total Debt,1303.75,1262.34,1713.32,2712.78,2721.92
Deferred Income Tax,66.27,84.15,87.73,87.93,79.24
"Other Liabilities, Total",46.94,49.19,50.23,62.82,63.64
Total Liabilities,1721.91,1804.39,2171.16,3207.89,3226.54
"Common Stock, Total",1206.75,1407.29,2038.09,3318.42,3177.97
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",530.77,361.89,361.89,361.89,361.89
Total Equity,1737.52,1769.18,2399.98,3680.31,3539.86
Total Liabilities & Shareholders' Equity,3459.43,3573.57,4571.14,6888.19,6766.40
Total Common Shares Outstanding,1474.76,1754.50,2855.98,5385.40,5427.85
"Tangible Book Value per Share, Common Eq",1.17,1.01,0.83,0.68,0.65
