Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,8.51,10.22,8.40,1.94,12.07
Depreciation/Depletion,0.76,0.85,1.27,4.40,3.72
Non-Cash Items,2.50,5.73,7.37,6.57,4.05
Cash Taxes Paid,1.01,1.33,1.98,0.99,1.53
Changes in Working Capital,-32.21,-38.57,-5.83,32.65,30.31
Cash from Operating Activities,-20.45,-21.77,11.20,45.56,50.14
Capital Expenditures,-1.79,-0.91,-2.44,-1.32,-0.94
"Other Investing Cash Flow Items, Total",0.26,0.21,-0.36,0.21,-0.16
Cash from Investing Activities,-1.54,-0.69,-2.80,-1.11,-1.10
Total Cash Dividends Paid,-1.91,-3.38,-4.03,-3.50,0.00
"Issuance (Retirement) of Stock, Net",5.73,0,0,0,-0.01
Cash from Financing Activities,27.88,15.84,2.20,-50.60,-24.43
Foreign Exchange Effects,-0.02,-0.01,-0.01,0.07,0.08
Net Change in Cash,5.88,-6.63,10.59,-6.09,24.69
