Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,16.61,9.98,20.57,14.48,39.17
"Accounts Receivable - Trade, Net",155.38,199.06,191.52,158.46,172.23
"Total Receivables, Net",155.38,199.06,191.52,158.46,172.23
Prepaid Expenses,0.35,0.38,0.46,0.34,0.32
"Other Current Assets, Total",0,0.00,0.39,0.00,0.00
Total Current Assets,303.94,384.39,377.36,320.66,391.62
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",2.58,2.62,3.41,6.85,9.72
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.52,0.47,0.75,0.75,0.75
Long Term Investments,1.79,2.35,2.42,2.85,3.24
Total Assets,308.84,389.84,384.08,331.20,405.42
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,123.50,142.72,148.95,104.64,79.02
"Other Current liabilities, Total",3.22,11.68,6.50,6.12,11.04
Total Current Liabilities,240.59,316.00,306.21,253.19,309.79
Total Long Term Debt,0.00,0.00,0.00,1.31,8.31
Total Debt,123.50,142.72,148.95,108.38,89.67
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,240.59,316.00,306.21,254.49,318.10
"Common Stock, Total",38.24,38.55,38.86,39.06,39.11
Retained Earnings (Accumulated Deficit),30.01,35.28,39.01,37.66,48.21
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,68.26,73.84,77.87,76.71,87.32
Total Liabilities & Shareholders' Equity,308.84,389.84,384.08,331.20,405.42
Total Common Shares Outstanding,117.81,118.50,119.19,119.76,119.90
"Tangible Book Value per Share, Common Eq",0.57,0.62,0.65,0.63,0.72
