Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,8.88,11.24
Short Term Investments,0,0,0,0.03,0.03
Cash and Short Term Investments,7.94,7.15,8.38,8.91,11.27
"Accounts Receivable - Trade, Net",16.93,19.27,24.87,19.85,10.69
"Total Receivables, Net",21.05,22.64,26.79,20.46,10.98
Prepaid Expenses,0,0,0,1.31,1.58
"Other Current Assets, Total",0,0,0,0.02,0.16
Total Current Assets,57.83,58.81,66.80,56.50,50.81
"Property/Plant/Equipment, Total - Gross",0,0,0,48.38,36.01
"Accumulated Depreciation, Total",0,0,0,-30.60,-20.26
"Property/Plant/Equipment, Total - Net",13.18,12.39,12.61,17.79,15.75
"Goodwill, Net",9.35,9.35,9.35,6.09,6.09
"Intangibles, Net",2.83,2.17,3.66,3.10,2.29
Long Term Investments,0.01,0.01,1.52,0.01,0.01
Total Assets,83.60,82.99,94.09,84.52,76.37
Accounts Payable,16.60,12.21,19.38,12.90,12.51
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,6.11,8.03,11.97,8.93,3.88
"Other Current liabilities, Total",6.68,6.69,5.62,10.24,5.59
Total Current Liabilities,29.39,26.92,36.98,33.97,23.84
Total Long Term Debt,0.00,0.00,0.00,5.95,4.85
Total Debt,6.11,8.03,11.97,16.77,10.59
Deferred Income Tax,0.68,0.49,0.41,0.43,0.63
"Other Liabilities, Total",1.22,0.11,0.10,0.11,0.12
Total Liabilities,31.29,27.52,37.49,40.44,29.43
"Common Stock, Total",60.42,60.42,60.42,60.42,60.42
Retained Earnings (Accumulated Deficit),-6.45,-3.30,-2.16,-13.47,-10.86
Treasury Stock - Common,-1.66,-1.66,-1.66,-1.66,-1.66
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,-1.22,-0.96
Total Equity,52.31,55.47,56.61,44.08,46.94
Total Liabilities & Shareholders' Equity,83.60,82.99,94.09,84.52,76.37
Total Common Shares Outstanding,271.66,271.66,271.66,271.66,271.66
"Tangible Book Value per Share, Common Eq",0.15,0.16,0.16,0.13,0.14
