Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,17.52,-5.08,13.29,-15.92,3.25
Depreciation/Depletion,0.43,0.49,0.41,0.36,0.19
Non-Cash Items,44.32,15.13,-11.72,17.29,0.19
Cash Taxes Paid,0.02,0.29,-0.02,0.56,0.05
Changes in Working Capital,-193.22,-194.29,43.14,-146.73,19.90
Cash from Operating Activities,-130.94,-183.76,45.13,-144.99,23.53
Capital Expenditures,-0.39,-0.38,-0.43,-0.02,-0.01
"Other Investing Cash Flow Items, Total",13.82,2.72,5.71,0.03,0.00
Cash from Investing Activities,13.43,2.34,5.28,0.01,-0.01
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",11.73,0,0,0,0
Cash from Financing Activities,182.39,117.21,-48.38,142.46,-23.49
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,64.87,-64.21,2.03,-2.52,0.04
