Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,43.80,39.97,42.78,42.57,18.04
Total Revenue,43.80,39.97,42.78,42.57,18.04
"Selling/General/Admin. Expenses, Total",19.06,18.74,18.49,18.63,11.57
Depreciation/Amortisation,0.03,0.04,0.04,0.03,0.04
Unusual Expense (Income),-0.00,-0.35,-0.08,0.01,-2.13
"Other Operating Expenses, Total",-0.06,-0.12,-0.12,4.57,-1.10
Total Operating Expense,43.90,41.28,42.39,48.48,19.12
Operating Income,-0.09,-1.32,0.39,-5.91,-1.08
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0.01,0.01,-0.03
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-0.09,-1.32,0.40,-5.90,-1.10
Provision for Income Taxes,0.10,-0.09,0.12,0.30,0.26
Net Income After Taxes,-0.20,-1.23,0.28,-6.20,-1.37
Net Income Before Extra. Items,-0.19,-0.97,0.22,-6.11,-1.84
Net Income,0.42,-0.97,0.22,-6.11,-1.84
Income Available to Com Excl ExtraOrd,-0.19,-0.97,0.22,-6.11,-1.84
Income Available to Com Incl ExtraOrd,0.42,-0.97,0.22,-6.11,-1.84
Diluted Net Income,0.42,-0.97,0.22,-6.11,-1.84
Diluted Weighted Average Shares,63.10,63.10,63.10,63.10,63.10
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.02,0.00,-0.10,-0.03
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,-0.02,0.00,-0.10,-0.05
