Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-0.09,-1.32,0.40,-5.90,-1.10
Depreciation/Depletion,0.85,1.33,1.34,2.90,2.69
Non-Cash Items,0.98,-0.04,0.30,5.53,-0.85
Cash Taxes Paid,0.21,0.11,0.02,0.31,0.29
Changes in Working Capital,-5.11,1.82,1.56,-5.05,2.83
Cash from Operating Activities,-3.34,1.83,3.63,-2.49,3.61
Capital Expenditures,-21.13,-1.90,-0.85,-0.61,-0.14
"Other Investing Cash Flow Items, Total",1.11,2.59,0.17,0.98,4.00
Cash from Investing Activities,-20.02,0.69,-0.68,0.38,3.86
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,0
Cash from Financing Activities,19.02,-2.38,0.41,-2.39,-2.74
Foreign Exchange Effects,0.01,-0.07,0.04,0.02,0.04
Net Change in Cash,-4.33,0.06,3.41,-4.48,4.77
