Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,62.32,32.43,24.92,27.43,24.18
Short Term Investments,1.19,41.01,62.31,48.99,229.72
Cash and Short Term Investments,63.51,73.44,87.23,76.42,253.90
"Accounts Receivable - Trade, Net",6.36,8.23,5.64,5.80,10.42
"Total Receivables, Net",6.60,9.51,7.08,7.59,14.56
Prepaid Expenses,1.07,2.17,2.46,2.31,1.98
"Other Current Assets, Total",2.69,2.97,3.45,8.08,3.41
Total Current Assets,135.76,148.86,170.12,176.57,351.76
"Property/Plant/Equipment, Total - Gross",327.47,341.20,368.29,498.68,526.53
"Accumulated Depreciation, Total",-75.42,-86.51,-102.07,-142.49,-186.23
"Property/Plant/Equipment, Total - Net",252.04,254.69,266.22,356.19,340.30
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0.00,0.00,0,0.00
Total Assets,387.80,403.55,436.34,532.76,692.06
Accounts Payable,77.82,70.21,83.45,95.70,115.64
Accrued Expenses,30.50,32.32,34.93,34.74,78.41
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",22.18,25.30,22.68,26.93,43.79
Total Current Liabilities,130.51,127.83,141.05,184.11,275.22
Total Long Term Debt,0.00,0.00,0.00,30.24,38.13
Total Debt,0.00,0.00,0.00,56.98,75.50
Deferred Income Tax,2.45,2.56,2.92,3.04,3.62
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,135.74,132.88,146.11,219.50,319.67
"Common Stock, Total",235.37,235.37,235.37,235.37,235.37
Retained Earnings (Accumulated Deficit),16.60,35.27,54.94,78.05,137.01
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.09,0.03,-0.09,-0.17,0.00
Total Equity,252.06,270.67,290.23,313.25,372.39
Total Liabilities & Shareholders' Equity,387.80,403.55,436.34,532.76,692.06
Total Common Shares Outstanding,1503.54,1503.54,1503.54,1503.54,1503.54
"Tangible Book Value per Share, Common Eq",0.17,0.18,0.19,0.21,0.25
