Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,9.20,11.04,10.23,10.92,14.64
"Accounts Receivable - Trade, Net",8.35,9.11,10.83,11.33,9.81
"Total Receivables, Net",8.39,9.12,10.87,11.36,9.85
Prepaid Expenses,0.08,0.12,0.74,0.16,0.13
"Other Current Assets, Total",0,0,0,0,0.88
Total Current Assets,21.14,24.80,25.79,25.90,29.11
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",1.35,2.39,2.29,3.54,2.48
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.08,0.02,0.01,0.01,0.04
Long Term Investments,0,0,0,0.00,0.00
Total Assets,22.57,27.21,28.09,29.46,31.63
Accounts Payable,0,0,0,0,3.68
Accrued Expenses,0,0,0,0,1.07
Notes Payable/Short Term Debt,0.82,3.15,2.85,3.23,0
"Other Current liabilities, Total",0.60,0.78,1.26,1.14,1.71
Total Current Liabilities,6.05,8.88,10.22,11.77,10.49
Total Long Term Debt,0.41,1.42,1.47,1.76,5.09
Total Debt,1.35,4.85,4.66,6.23,9.11
Deferred Income Tax,0.08,0.09,0.06,0.06,0.06
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,6.54,10.41,11.75,13.57,15.64
"Common Stock, Total",4.12,5.12,5.12,5.12,5.13
Retained Earnings (Accumulated Deficit),11.91,11.68,11.21,10.76,10.86
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,16.03,16.81,16.34,15.88,15.99
Total Liabilities & Shareholders' Equity,22.57,27.21,28.09,29.46,31.63
Total Common Shares Outstanding,150.00,155.00,155.00,155.00,155.00
"Tangible Book Value per Share, Common Eq",0.11,0.11,0.11,0.10,0.10
