Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,26.21,30.73,33.56,33.02,22.21
Total Revenue,26.21,30.73,33.56,33.02,22.21
"Selling/General/Admin. Expenses, Total",6.27,8.05,9.49,9.34,6.73
Depreciation/Amortisation,0.24,0.19,0.28,0.84,0
Unusual Expense (Income),-0.02,0,0,0,0
"Other Operating Expenses, Total",-0.57,-0.03,-0.27,-0.39,-0.87
Total Operating Expense,23.30,29.13,32.14,32.67,21.93
Operating Income,2.91,1.60,1.43,0.36,0.28
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,2.91,1.60,1.43,0.36,0.28
Provision for Income Taxes,0.34,0.30,0.75,0.45,0.15
Net Income After Taxes,2.57,1.30,0.68,-0.09,0.13
Net Income Before Extra. Items,2.57,1.28,0.69,-0.07,0.13
Net Income,2.57,1.28,0.69,-0.07,0.13
Income Available to Com Excl ExtraOrd,2.57,1.28,0.69,-0.07,0.13
Income Available to Com Incl ExtraOrd,2.57,1.28,0.69,-0.07,0.13
Diluted Net Income,2.57,1.28,0.69,-0.07,0.13
Diluted Weighted Average Shares,150.00,150.25,155.00,155.00,155.00
Diluted EPS Excluding ExtraOrd Items,0.02,0.01,0.00,-0.00,0.00
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0,0
Diluted Normalised EPS,0.02,0.01,0.01,0.00,0.00
