Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4.39,16.90,34.09,31.69,22.48
Depreciation/Depletion,4.11,4.28,4.45,5.90,6.42
Non-Cash Items,4.57,2.28,1.86,4.55,10.33
Cash Taxes Paid,0.09,0.60,1.18,6.83,3.45
Changes in Working Capital,-19.84,19.20,-33.09,-93.39,-3.62
Cash from Operating Activities,-6.62,42.81,7.47,-51.10,35.76
Capital Expenditures,-2.64,-7.19,-17.33,-18.37,-25.23
"Other Investing Cash Flow Items, Total",-0.69,-0.53,0.15,-8.50,0.89
Cash from Investing Activities,-3.32,-7.73,-17.19,-26.86,-24.34
Total Cash Dividends Paid,0.00,-0.82,-5.63,-6.70,-4.94
"Issuance (Retirement) of Stock, Net",0,0.00,14.44,0.00,0
Cash from Financing Activities,9.64,-26.55,7.94,81.29,-8.03
Foreign Exchange Effects,0.00,-0.01,-0.45,-0.15,0.12
Net Change in Cash,-0.30,8.52,-2.23,3.18,3.50
