Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,Interim Report,Interim Report,ARS,ARS,ARS
Cash,6.53,14.88,12.64,15.82,19.12
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,7.12,15.64,13.42,16.59,20.53
"Accounts Receivable - Trade, Net",36.51,29.28,32.53,54.51,50.79
"Total Receivables, Net",38.60,29.94,34.49,57.58,54.38
Prepaid Expenses,0.36,0.59,0.72,0.65,0.39
"Other Current Assets, Total",1.31,1.07,3.99,6.33,11.01
Total Current Assets,143.83,134.37,172.93,268.68,268.88
"Property/Plant/Equipment, Total - Gross",80.14,87.24,104.12,124.40,146.21
"Accumulated Depreciation, Total",-27.43,-31.63,-36.05,-41.37,-47.36
"Property/Plant/Equipment, Total - Net",52.71,55.61,68.08,83.03,98.85
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.52,0.45,0.32,0.23,2.52
Long Term Investments,4.05,4.00,4.07,12.54,12.63
Total Assets,203.67,197.62,248.29,364.60,383.03
Accounts Payable,21.15,19.51,27.56,27.99,20.05
Accrued Expenses,1.16,3.43,5.67,6.06,6.22
Notes Payable/Short Term Debt,99.56,78.46,80.28,168.67,156.53
"Other Current liabilities, Total",4.35,9.24,7.28,9.24,17.15
Total Current Liabilities,128.36,110.63,120.78,213.32,204.33
Total Long Term Debt,0.00,0.00,0.09,3.52,15.06
Total Debt,101.70,78.46,80.36,173.56,175.98
Deferred Income Tax,0.74,2.03,4.58,5.42,5.94
"Other Liabilities, Total",0.65,0.82,0.76,0.93,1.12
Total Liabilities,129.75,113.50,126.22,223.20,226.46
"Common Stock, Total",99.64,99.64,113.96,113.96,113.96
Retained Earnings (Accumulated Deficit),-18.71,-8.72,15.61,35.08,49.52
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-7.02,-6.80,-7.50,-7.64,-6.91
Total Equity,73.92,84.11,122.07,141.40,156.58
Total Liabilities & Shareholders' Equity,203.67,197.62,248.29,364.60,383.03
Total Common Shares Outstanding,227.40,227.40,303.20,303.20,303.20
"Tangible Book Value per Share, Common Eq",0.32,0.37,0.40,0.47,0.51
